areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw50,3375,stand-alone-photovoltaic,396.5625,312094.6875,39259.6875
mw51,2574,stand-alone-photovoltaic,205.92,109755.36,6383.52
mw52,915,grid,52.6125,43037.025,1104.8625
mw53,2263,stand-alone-photovoltaic,231.9575,175591.8275,4871.1075
mw54,2930,mini-grid,51.275,21484.225,5076.225
mw55,1531,stand-alone-diesel,19.1375,10563.9,382.75
mw56,1471,grid,69.8725,42901.715,4332.095
mw57,3383,stand-alone-photovoltaic,346.7575,254866.7625,29474.3875
mw58,4999,stand-alone-diesel,187.4625,110602.875,7873.425
mw59,2110,grid,158.25,34023.75,6804.75
mw60,4566,stand-alone-photovoltaic,353.865,39986.745,28309.2
mw61,1746,stand-alone-photovoltaic,170.235,28259.01,12086.685
mw62,1289,grid,45.115,37084.53,4331.04
mw63,2746,stand-alone-diesel,247.14,55853.64,5931.36
mw64,3872,stand-alone-photovoltaic,183.92,71544.88,4781.92
mw65,4794,stand-alone-diesel,95.88,64431.36,9108.6
mw66,590,grid,42.775,31610.725,2010.425
mw67,1710,stand-alone-photovoltaic,47.025,36679.5,4044.15
mw68,3743,grid,355.585,314337.14,35202.915
mw69,2334,stand-alone-photovoltaic,58.35,39152.85,4609.65
mw70,736,grid,23.92,4688.32,1124.24
mw71,595,mini-grid,68.425,63703.675,4379.2
mw72,2148,mini-grid,102.03,73359.57,5509.62
mw73,828,mini-grid,24.84,13637.16,894.24
mw74,1017,stand-alone-photovoltaic,53.3925,49601.6325,3043.3725
mw75,3663,stand-alone-photovoltaic,338.8275,60988.95,13553.1
mw76,3878,stand-alone-diesel,106.645,48203.54,10131.275
mw77,3618,stand-alone-diesel,298.485,159689.475,20296.98
mw78,1906,grid,61.945,21371.025,1300.845
mw79,4824,mini-grid,590.94,115824.24,46684.26
mw80,4607,stand-alone-photovoltaic,529.805,475235.085,41854.595
mw81,4802,stand-alone-photovoltaic,600.25,554030.75,40817
mw82,4029,grid,412.9725,205247.3325,9911.34
mw83,2335,stand-alone-photovoltaic,29.1875,8084.9375,2802
mw84,3366,stand-alone-photovoltaic,395.505,187073.865,26103.33
mw85,534,stand-alone-photovoltaic,25.365,3982.305,2257.485
mw86,3176,grid,254.08,253571.84,16515.2
mw87,4819,stand-alone-diesel,602.375,80718.25,38552
mw88,1493,stand-alone-diesel,70.9175,13545.2425,2978.535
mw89,1851,mini-grid,87.9225,17496.5775,4308.2025
mw90,636,stand-alone-diesel,30.21,29364.12,694.83
mw91,4779,stand-alone-diesel,262.845,46786.41,19976.22
mw92,1676,stand-alone-diesel,159.22,85660.36,11145.4
mw93,1221,stand-alone-diesel,85.47,19914.51,5555.55
mw94,4778,stand-alone-diesel,430.02,223180.38,30961.44
mw95,3571,stand-alone-photovoltaic,258.8975,67054.4525,23300.775
mw96,1731,grid,17.31,9018.51,865.5
mw97,3978,stand-alone-photovoltaic,328.185,277316.325,26911.17
mw98,4916,mini-grid,454.73,366512.38,37742.59
mw99,3338,mini-grid,250.35,224814.3,20528.7
mw100,679,stand-alone-photovoltaic,10.185,9156.315,468.51
