areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw70,736,grid,88.32,45573.12,3091.2
mw71,595,mini-grid,31.2375,3248.7,843.4125
mw72,2148,mini-grid,150.36,72473.52,12028.8
mw73,828,mini-grid,28.98,21387.24,1043.28
mw74,1017,stand-alone-photovoltaic,15.255,5842.665,305.1
mw75,3663,stand-alone-photovoltaic,256.41,243845.91,11025.63
mw76,3878,stand-alone-diesel,290.85,228026.4,27049.05
mw77,3618,stand-alone-diesel,189.945,39508.56,18804.555
mw78,1906,grid,152.48,48641.12,12045.92
mw79,4824,mini-grid,410.04,64786.32,35673.48
mw80,4607,stand-alone-photovoltaic,380.0775,161913.015,29265.9675
mw81,4802,stand-alone-photovoltaic,264.11,209175.12,8187.41
mw82,4029,grid,412.9725,235807.2975,29321.0475
mw83,2335,stand-alone-photovoltaic,274.3625,208789.8625,6584.7
mw84,3366,stand-alone-photovoltaic,395.505,187864.875,20170.755
mw85,534,stand-alone-photovoltaic,24.03,17541.9,1658.07
mw86,3176,grid,325.54,249038.1,15625.92
mw87,4819,stand-alone-diesel,530.09,80573.68,43467.38
mw88,1493,stand-alone-diesel,164.23,20200.29,9032.65
mw89,1851,mini-grid,92.55,65247.75,7866.75
mw90,636,stand-alone-diesel,7.95,1431,278.25
mw91,4779,stand-alone-diesel,95.58,32688.36,9558
mw92,1676,stand-alone-diesel,150.84,98196.84,6486.12
mw93,1221,stand-alone-diesel,100.7325,45027.4275,7353.4725
mw94,4778,stand-alone-diesel,179.175,159107.4,10750.5
mw95,3571,stand-alone-photovoltaic,187.4775,145670.0175,12373.515
mw96,1731,grid,64.9125,35636.9625,2142.1125
mw97,3978,stand-alone-photovoltaic,258.57,220301.64,17065.62
mw98,4916,mini-grid,467.02,373616,25686.1
mw99,3338,mini-grid,342.145,165256.035,21897.28
mw100,679,stand-alone-photovoltaic,37.345,34282.71,1755.215
