areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw67,1710,stand-alone-photovoltaic,38.475,35089.2,3693.6
mw68,3743,grid,177.7925,118943.1825,14401.1925
mw69,2334,stand-alone-photovoltaic,122.535,100723.77,5269.005
mw70,736,grid,5.52,1622.88,325.68
mw71,595,mini-grid,28.2625,22610,2826.25
mw72,2148,mini-grid,37.59,18982.95,2405.76
mw73,828,mini-grid,8.28,1506.96,695.52
mw74,1017,stand-alone-photovoltaic,78.8175,26009.775,5517.225
mw75,3663,stand-alone-photovoltaic,18.315,14084.235,439.56
mw76,3878,stand-alone-diesel,319.935,32313.435,18876.165
mw77,3618,stand-alone-diesel,253.26,76231.26,24312.96
mw78,1906,grid,109.595,71565.535,5698.94
mw79,4824,mini-grid,506.52,423450.72,41534.64
mw80,4607,stand-alone-photovoltaic,46.07,12623.18,2579.92
mw81,4802,stand-alone-photovoltaic,588.245,238239.225,14117.88
mw82,4029,grid,50.3625,45225.525,2266.3125
mw83,2335,stand-alone-photovoltaic,122.5875,14097.5625,3432.45
mw84,3366,stand-alone-photovoltaic,294.525,207640.125,22089.375
mw85,534,stand-alone-photovoltaic,42.72,36781.92,2050.56
mw86,3176,grid,333.48,278789.28,23010.12
mw87,4819,stand-alone-diesel,409.615,325234.31,22938.44
mw88,1493,stand-alone-diesel,29.86,10421.14,2120.06
mw89,1851,mini-grid,46.275,45580.875,3239.25
mw90,636,stand-alone-diesel,38.16,32474.16,1221.12
mw91,4779,stand-alone-diesel,59.7375,45340.7625,5017.95
mw92,1676,stand-alone-diesel,117.32,12670.56,10676.12
mw93,1221,stand-alone-diesel,109.89,22087.89,7362.63
mw94,4778,stand-alone-diesel,47.78,30053.62,1528.96
mw95,3571,stand-alone-photovoltaic,116.0575,104219.635,2437.2075
mw96,1731,grid,12.9825,1869.48,701.055
mw97,3978,stand-alone-photovoltaic,228.735,30879.225,20586.15
mw98,4916,mini-grid,73.74,7742.7,5456.76
mw99,3338,mini-grid,375.525,261740.925,26286.75
mw100,679,stand-alone-photovoltaic,50.925,14360.85,2699.025
