area_id,population,least_cost_electrification_technology,new_connections,investiment_required,capacity_added
mw40,852,stand-alone-photovoltaic,34.08,24469.44,954.24
mw41,1452,stand-alone-diesel,170.61,128810.55,11942.7
mw42,2338,stand-alone-diesel,122.745,69719.16,5155.29
mw43,2322,grid,208.98,64783.8,16509.42
mw44,2424,stand-alone-diesel,206.04,92511.96,16071.12
mw45,2409,stand-alone-diesel,174.6525,86452.9875,4890.27
mw46,2829,mini-grid,148.5225,21387.24,5198.2875
mw47,4170,mini-grid,114.675,77979,5045.7
mw48,2451,stand-alone-diesel,165.4425,116471.52,8106.6825
mw49,3443,stand-alone-diesel,215.1875,85214.25,15923.875
mw50,3375,stand-alone-photovoltaic,67.5,58792.5,3847.5
mw51,2574,stand-alone-photovoltaic,32.175,28764.45,2509.65
mw52,915,grid,75.4875,21891.375,3925.35
mw53,2263,stand-alone-photovoltaic,50.9175,45418.41,1374.7725
mw54,2930,mini-grid,65.925,21425.625,2241.45
mw55,1531,stand-alone-diesel,26.7925,10583.0375,1125.285
mw56,1471,grid,158.1325,109743.955,12492.4675
mw57,3383,stand-alone-photovoltaic,219.895,82020.835,21109.92
mw58,4999,stand-alone-diesel,537.3925,455708.84,47827.9325
mw59,2110,grid,47.475,23025.375,1234.35
mw60,4566,stand-alone-photovoltaic,273.96,203552.28,22738.68
mw61,1746,stand-alone-photovoltaic,209.52,145197.36,19694.88
mw62,1289,grid,61.2275,51614.7825,1285.7775
mw63,2746,stand-alone-diesel,61.785,48192.3,4201.38
mw64,3872,stand-alone-photovoltaic,106.48,80179.44,6921.2
mw65,4794,stand-alone-diesel,323.595,211307.535,25564.005
mw66,590,grid,20.65,8198.05,1713.95
mw67,1710,stand-alone-photovoltaic,132.525,82828.125,9939.375
mw68,3743,grid,46.7875,37336.425,1029.325
mw69,2334,stand-alone-photovoltaic,87.525,75971.7,6126.75
mw70,736,grid,34.96,10732.72,2482.16
mw71,595,mini-grid,31.2375,6341.2125,2592.7125
mw72,2148,mini-grid,198.69,142858.11,8742.36
mw73,828,mini-grid,20.7,15111,724.5
mw74,1017,stand-alone-photovoltaic,109.3275,67673.7225,6778.305
mw75,3663,stand-alone-photovoltaic,164.835,28186.785,8076.915
mw76,3878,stand-alone-diesel,310.24,176836.8,18614.4
mw77,3618,stand-alone-diesel,45.225,44139.6,3979.8
mw78,1906,grid,4.765,1334.2,171.54
mw79,4824,mini-grid,397.98,89943.48,33430.32
mw80,4607,stand-alone-photovoltaic,287.9375,83213.9375,28217.875
mw81,4802,stand-alone-photovoltaic,204.085,110409.985,6734.805
mw82,4029,grid,372.6825,360756.66,8199.015
mw83,2335,stand-alone-photovoltaic,221.825,103814.1,6211.1
mw84,3366,stand-alone-photovoltaic,319.77,53401.59,30697.92
mw85,534,stand-alone-photovoltaic,52.065,47014.695,1249.56
mw86,3176,grid,238.2,93850.8,10957.2
mw87,4819,stand-alone-diesel,337.33,159557.09,12818.54
mw88,1493,stand-alone-diesel,44.79,39997.47,2105.13
mw89,1851,mini-grid,32.3925,13280.925,2073.12
mw90,636,stand-alone-diesel,6.36,5724,318
mw91,4779,stand-alone-diesel,346.4775,39844.9125,18709.785
mw92,1676,stand-alone-diesel,29.33,17744.65,1495.83
mw93,1221,stand-alone-diesel,15.2625,9981.675,778.3875
mw94,4778,stand-alone-diesel,238.9,85765.1,14811.8
mw95,3571,stand-alone-photovoltaic,223.1875,146857.375,5802.875
mw96,1731,grid,69.24,16202.16,3531.24
mw97,3978,stand-alone-photovoltaic,198.9,152158.5,5967
mw98,4916,mini-grid,442.44,342891,11503.44
mw99,3338,mini-grid,75.105,56779.38,1502.1
mw100,679,stand-alone-photovoltaic,13.58,9628.22,977.76
