area_id,population,least_cost_electrification_technology,new_connections,investiment_required,capacity_added
mw66,590,grid,2.95,2177.1,76.7
mw67,1710,stand-alone-photovoltaic,55.575,52851.825,4723.875
mw68,3743,grid,168.435,102913.785,11790.45
mw69,2334,stand-alone-photovoltaic,122.535,98273.07,6249.285
mw70,736,grid,9.2,1904.4,570.4
mw71,595,mini-grid,43.1375,7247.1,2933.35
mw72,2148,mini-grid,10.74,7410.6,300.72
mw73,828,mini-grid,26.91,24488.1,1910.61
mw74,1017,stand-alone-photovoltaic,104.2425,19597.59,4899.3975
mw75,3663,stand-alone-photovoltaic,375.4575,89734.3425,27032.94
mw76,3878,stand-alone-diesel,300.545,244643.63,27349.595
mw77,3618,stand-alone-diesel,171.855,69944.985,12889.125
mw78,1906,grid,61.945,14804.855,4583.93
mw79,4824,mini-grid,60.3,26411.4,2713.5
mw80,4607,stand-alone-photovoltaic,115.175,50561.825,4837.35
mw81,4802,stand-alone-photovoltaic,144.06,58200.24,11380.74
mw82,4029,grid,171.2325,54623.1675,7362.9975
mw83,2335,stand-alone-photovoltaic,268.525,60149.6,14231.825
mw84,3366,stand-alone-photovoltaic,159.885,112718.925,12471.03
mw85,534,stand-alone-photovoltaic,38.715,37824.555,1897.035
mw86,3176,grid,103.22,38294.62,2890.16
mw87,4819,stand-alone-diesel,60.2375,25540.7,3313.0625
mw88,1493,stand-alone-diesel,141.835,136161.6,2978.535
mw89,1851,mini-grid,157.335,126497.34,12744.135
mw90,636,stand-alone-diesel,31.8,22228.2,1526.4
mw91,4779,stand-alone-diesel,167.265,164588.76,11206.755
mw92,1676,stand-alone-diesel,83.8,37961.4,4357.6
mw93,1221,stand-alone-diesel,134.31,67289.31,12490.83
mw94,4778,stand-alone-diesel,23.89,20951.53,2126.21
mw95,3571,stand-alone-photovoltaic,392.81,369241.4,34567.28
mw96,1731,grid,207.72,117569.52,19941.12
mw97,3978,stand-alone-photovoltaic,208.845,165196.395,13992.615
mw98,4916,mini-grid,208.93,144788.49,5850.04
mw99,3338,mini-grid,133.52,72234.32,3070.96
mw100,679,stand-alone-photovoltaic,23.765,14401.59,1829.905
