area_id,population,least_cost_electrification_technology,new_connections,investiment_required,capacity_added
mw44,2424,stand-alone-diesel,254.52,222705,21888.72
mw45,2409,stand-alone-diesel,289.08,139914.72,17055.72
mw46,2829,mini-grid,254.61,89113.5,14258.16
mw47,4170,mini-grid,417,214755,30858
mw48,2451,stand-alone-diesel,287.9925,221466.2325,16703.565
mw49,3443,stand-alone-diesel,430.375,81771.25,16354.25
mw50,3375,stand-alone-photovoltaic,185.625,40651.875,17263.125
mw51,2574,stand-alone-photovoltaic,109.395,36647.325,3281.85
mw52,915,grid,18.3,7008.9,768.6
mw53,2263,stand-alone-photovoltaic,254.5875,72302.85,6873.8625
mw54,2930,mini-grid,36.625,5090.875,732.5
mw55,1531,stand-alone-diesel,42.1025,36713.38,3115.585
mw56,1471,grid,158.1325,117966.845,13124.9975
mw57,3383,stand-alone-photovoltaic,177.6075,79390.5525,9768.4125
mw58,4999,stand-alone-diesel,224.955,134073.18,18671.265
mw59,2110,grid,5.275,2495.075,163.525
mw60,4566,stand-alone-photovoltaic,422.355,365337.075,36322.53
mw61,1746,stand-alone-photovoltaic,30.555,9716.49,3024.945
mw62,1289,grid,96.675,54718.05,3093.6
mw63,2746,stand-alone-diesel,260.87,89478.41,23217.43
mw64,3872,stand-alone-photovoltaic,454.96,175159.6,19108.32
mw65,4794,stand-alone-diesel,395.505,339738.795,26498.835
mw66,590,grid,38.35,9702.55,3528.2
mw67,1710,stand-alone-photovoltaic,123.975,39548.025,8678.25
mw68,3743,grid,131.005,15982.61,4192.16
mw69,2334,stand-alone-photovoltaic,99.195,53962.08,9026.745
mw70,736,grid,51.52,14322.56,1030.4
mw71,595,mini-grid,1.4875,581.6125,49.0875
mw72,2148,mini-grid,209.43,89845.47,6492.33
mw73,828,mini-grid,14.49,2477.79,623.07
mw74,1017,stand-alone-photovoltaic,10.17,3732.39,793.26
mw75,3663,stand-alone-photovoltaic,18.315,13315.005,1776.555
mw76,3878,stand-alone-diesel,213.29,138851.79,13010.69
mw77,3618,stand-alone-diesel,144.72,130826.88,11432.88
mw78,1906,grid,85.77,79508.79,7719.3
mw79,4824,mini-grid,554.76,439924.68,43271.28
mw80,4607,stand-alone-photovoltaic,391.595,82626.545,21929.32
mw81,4802,stand-alone-photovoltaic,564.235,437282.125,41189.155
mw82,4029,grid,30.2175,25473.3525,2024.5725
mw83,2335,stand-alone-photovoltaic,99.2375,42672.125,4763.4
mw84,3366,stand-alone-photovoltaic,395.505,161366.04,20961.765
mw85,534,stand-alone-photovoltaic,64.08,39409.2,4037.04
mw86,3176,grid,397,176665,19453
mw87,4819,stand-alone-diesel,349.3775,97476.3225,20962.65
mw88,1493,stand-alone-diesel,14.93,8121.92,373.25
mw89,1851,mini-grid,143.4525,44470.275,8176.7925
mw90,636,stand-alone-diesel,27.03,21380.73,2703
mw91,4779,stand-alone-diesel,179.2125,167922.1125,11111.175
mw92,1676,stand-alone-diesel,29.33,7713.79,1759.8
mw93,1221,stand-alone-diesel,67.155,43180.665,2686.2
mw94,4778,stand-alone-diesel,430.02,377987.58,17200.8
mw95,3571,stand-alone-photovoltaic,133.9125,120119.5125,9775.6125
mw96,1731,grid,56.2575,50913.0375,2137.785
mw97,3978,stand-alone-photovoltaic,179.01,60863.4,10382.58
mw98,4916,mini-grid,430.15,305406.5,29250.2
mw99,3338,mini-grid,283.73,111222.16,10214.28
mw100,679,stand-alone-photovoltaic,66.2025,61833.135,5759.6175
